Country,Code,Product,Cost,Quantity,Value
South Africa,SKU44386,Air Max 90,2300,20,46000.0
China,SKU90000,Jordan 1,3200,50,160000.0
Vietnam,SKU63221,Blazer,1700,19,32300.0
United States,SKU29077,Cortez,970,60,58200.0
Russia,SKU89999,Air Force 1,2000,43,86000.0
Australia,SKU57443,Waffle Racer,2700,10,27000.0
Canada,SKU68677,Air Max 97,3600,13,46800.0
Egypt,SKU19888,Dunk SB,1500,26,39000.0
Britain,SKU76000,Kobe 4,3400,32,108800.0
France,SKU84500,Pegasus,2490,28,69720.0
Zimbabwe,SKU20207,Air Presto,2999,7,20993.0
Morocco,SKU77744,Challenge Court,1450,11,15950.0
Israel,SKU29888,Air Zoom Generation,2680,6,16080.0
Uganda,SKU33000,Flyknit Racer,4900,9,44100.0
Pakistan,SKU77999,Air Yeezy 2,4389,67,294063.0
Brazil,SKU44600,Air Jordan 11,3870,24,92880.0
Columbia,SKU87500,Air Huarache,2683,8,21464.0
India,SKU38773,Air Max 1,1900,29,55100.0
Vietnam,SKU95000,Air Mag,2000,10,20000.0
Israel,SKU79084,Air Foamposite,2430,2,4860.0
China,SKU93222,Air Stab,1630,10,16300.0
South Korea,SKU66734,Hyperdunk,1899,7,13293.0
Australia,SKU71827,Zoom Hyperfuse,1400,15,21000.0
France,SKU20394,Eric Koston 1,2322,17,39474.0
Zimbabwe,ZIM12345,Zulu sandals,1200.0,12,14400.0
Angola,ANG23654,Nike sandals,1000.0,13,13000.0
Congo,CON78954,Nike Congo,1600.0,12,19200.0
